original_url,m3u8_url,video_id,timestamp
https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=18022025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250218_105949_113413.mp4/playlist.m3u8,slovakia_9_32_1_18022025,2025-03-26 13:40:18
https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=19022025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250219_113025_113310.mp4/playlist.m3u8,slovakia_9_32_2_19022025,2025-03-26 13:41:08
https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=18022025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250218_095905_103619.mp4/playlist.m3u8,slovakia_9_31_1_18022025,2025-03-26 15:12:33
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=10092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130910_085517_120141.mp4/playlist.m3u8,slovakia_6_23_5_10092013,2025-03-26 15:12:33
https://tv.nrsr.sk/archiv/schodza/7/9?MeetingDate=22092016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160922_085442_120025.mp4/playlist.m3u8,slovakia_7_9_10_22092016,2025-03-26 15:12:33
https://tv.nrsr.sk/archiv/schodza/8/75?MeetingDate=21102022&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20221021_085501_143452.mp4/playlist.m3u8,slovakia_8_75_3_21102022,2025-03-26 15:12:34
https://tv.nrsr.sk/archiv/schodza/8/6?MeetingDate=24042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200424_085503_140833.mp4/playlist.m3u8,slovakia_8_6_4_24042020,2025-03-26 15:12:34
https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=19022025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250219_085906_105226.mp4/playlist.m3u8,slovakia_9_31_2_19022025,2025-03-26 15:13:22
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=11092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130911_085532_120131.mp4/playlist.m3u8,slovakia_6_23_6_11092013,2025-03-26 15:15:03
https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=04022025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250204_125951_185620.mp4/playlist.m3u8,slovakia_9_30_1_04022025,2025-03-26 15:15:13
https://tv.nrsr.sk/archiv/schodza/7/9?MeetingDate=23092016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160923_085447_144938.mp4/playlist.m3u8,slovakia_7_9_11_23092016,2025-03-26 15:15:18
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=12092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130912_085510_120427.mp4/playlist.m3u8,slovakia_6_23_7_12092013,2025-03-26 15:17:30
https://tv.nrsr.sk/archiv/schodza/8/6?MeetingDate=28042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200428_085503_120434.mp4/playlist.m3u8,slovakia_8_6_5_28042020,2025-03-26 15:17:51
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=13092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130913_085510_140321.mp4/playlist.m3u8,slovakia_6_23_8_13092013,2025-03-26 15:20:01
https://tv.nrsr.sk/archiv/schodza/7/8?MeetingDate=06072016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160706_095439_100510.mp4/playlist.m3u8,slovakia_7_8_1_06072016,2025-03-26 15:20:14
https://tv.nrsr.sk/archiv/schodza/7/8?MeetingDate=07072016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160707_085400_090353.mp4/playlist.m3u8,slovakia_7_8_2_07072016,2025-03-26 15:20:40
https://tv.nrsr.sk/archiv/schodza/7/7?MeetingDate=30062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160630_125548_183116.mp4/playlist.m3u8,slovakia_7_7_1_30062016,2025-03-26 15:21:04
https://tv.nrsr.sk/archiv/schodza/8/6?MeetingDate=29042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200429_085503_120736.mp4/playlist.m3u8,slovakia_8_6_6_29042020,2025-03-26 15:21:10
https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=05022025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250205_095904_120406.mp4/playlist.m3u8,slovakia_9_30_2_05022025,2025-03-26 15:23:35
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=17092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130917_085516_120253.mp4/playlist.m3u8,slovakia_6_23_9_17092013,2025-03-26 15:23:52
https://tv.nrsr.sk/archiv/schodza/8/6?MeetingDate=30042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200430_095505_102020.mp4/playlist.m3u8,slovakia_8_6_7_30042020,2025-03-26 15:24:28
https://tv.nrsr.sk/archiv/schodza/8/5?MeetingDate=07042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200407_095501_123022.mp4/playlist.m3u8,slovakia_8_5_1_07042020,2025-03-26 15:25:06
https://tv.nrsr.sk/archiv/schodza/8/75?MeetingDate=25102022&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20221025_085503_120133.mp4/playlist.m3u8,slovakia_8_75_4_25102022,2025-03-26 15:25:34
https://tv.nrsr.sk/archiv/schodza/7/7?MeetingDate=23092016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160923_145347_180529.mp4/playlist.m3u8,slovakia_7_7_2_23092016,2025-03-26 15:25:49
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=18092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130918_085613_120225.mp4/playlist.m3u8,slovakia_6_23_10_18092013,2025-03-26 15:26:22
https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=27012025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250128_095906_103339.mp4/playlist.m3u8,slovakia_9_29_1_27012025,2025-03-26 15:26:56
https://tv.nrsr.sk/archiv/schodza/8/4?MeetingDate=01042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200401_125510_183633.mp4/playlist.m3u8,slovakia_8_4_1_01042020,2025-03-26 15:27:44
https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=29012025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250129_095925_110649.mp4/playlist.m3u8,slovakia_9_29_2_29012025,2025-03-26 15:27:47
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=14062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160614_125441_190121.mp4/playlist.m3u8,slovakia_7_6_1_14062016,2025-03-26 15:28:35
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=19092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130919_085512_120627.mp4/playlist.m3u8,slovakia_6_23_11_19092013,2025-03-26 15:28:53
https://tv.nrsr.sk/archiv/schodza/9/28?MeetingDate=16012025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250121_085932_120033.mp4/playlist.m3u8,slovakia_9_28_1_16012025,2025-03-26 15:28:59
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=20092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130920_085536_140545.mp4/playlist.m3u8,slovakia_6_23_12_20092013,2025-03-26 15:31:35
https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=09012025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250114_095908_103732.mp4/playlist.m3u8,slovakia_9_27_1_09012025,2025-03-26 15:32:58
https://tv.nrsr.sk/archiv/schodza/8/4?MeetingDate=02042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200402_105502_110206.mp4/playlist.m3u8,slovakia_8_4_2_02042020,2025-03-26 15:33:25
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=15062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160615_085500_121052.mp4/playlist.m3u8,slovakia_7_6_2_15062016,2025-03-26 15:33:37
https://tv.nrsr.sk/archiv/schodza/8/75?MeetingDate=26102022&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20221026_085500_100026.mp4/playlist.m3u8,slovakia_8_75_5_26102022,2025-03-26 15:33:49
https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=15012025&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20250115_095914_110601.mp4/playlist.m3u8,slovakia_9_27_2_15012025,2025-03-26 15:33:50
https://tv.nrsr.sk/archiv/schodza/8/4?MeetingDate=03042020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200403_092502_135424.mp4/playlist.m3u8,slovakia_8_4_3_03042020,2025-03-26 15:33:59
https://tv.nrsr.sk/archiv/schodza/9/26?MeetingDate=05122024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241209_085906_093520.mp4/playlist.m3u8,slovakia_9_26_1_05122024,2025-03-26 15:35:00
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=24092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130924_085521_120012.mp4/playlist.m3u8,slovakia_6_23_13_24092013,2025-03-26 15:35:31
https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=02122024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241202_085922_093506.mp4/playlist.m3u8,slovakia_9_25_1_02122024,2025-03-26 15:35:50
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=16062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160616_085430_120536.mp4/playlist.m3u8,slovakia_7_6_3_16062016,2025-03-26 15:36:28
https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=03122024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241203_082925_093549.mp4/playlist.m3u8,slovakia_9_25_2_03122024,2025-03-26 15:36:38
https://tv.nrsr.sk/archiv/schodza/8/75?MeetingDate=27102022&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20221027_085516_115021.mp4/playlist.m3u8,slovakia_8_75_6_27102022,2025-03-26 15:36:40
https://tv.nrsr.sk/archiv/schodza/9/24?MeetingDate=25112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241126_155911_171035.mp4/playlist.m3u8,slovakia_9_24_1_25112024,2025-03-26 15:37:47
https://tv.nrsr.sk/archiv/schodza/6/23?MeetingDate=25092013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130925_085521_120435.mp4/playlist.m3u8,slovakia_6_23_14_25092013,2025-03-26 15:37:57
https://tv.nrsr.sk/archiv/schodza/8/3?MeetingDate=24032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200324_145501_192638.mp4/playlist.m3u8,slovakia_8_3_1_24032020,2025-03-26 15:38:31
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=17062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160617_085445_130416.mp4/playlist.m3u8,slovakia_7_6_4_17062016,2025-03-26 15:39:12
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=25112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241126_125905_155102.mp4/playlist.m3u8,slovakia_9_23_1_25112024,2025-03-26 15:39:16
https://tv.nrsr.sk/archiv/schodza/6/22?MeetingDate=02072013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130702_125509_132130.mp4/playlist.m3u8,slovakia_6_22_1_02072013,2025-03-26 15:40:24
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=18062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130618_125741_190415.mp4/playlist.m3u8,slovakia_6_21_1_18062013,2025-03-26 15:41:01
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=21062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160621_085413_115918.mp4/playlist.m3u8,slovakia_7_6_5_21062016,2025-03-26 15:42:44
https://tv.nrsr.sk/archiv/schodza/8/3?MeetingDate=25032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200325_105501_113539.mp4/playlist.m3u8,slovakia_8_3_2_25032020,2025-03-26 15:42:55
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=26112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241126_172823_200657.mp4/playlist.m3u8,slovakia_9_23_2_26112024,2025-03-26 15:43:31
https://tv.nrsr.sk/archiv/schodza/8/2?MeetingDate=24032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200324_095500_124108.mp4/playlist.m3u8,slovakia_8_2_1_24032020,2025-03-26 15:43:48
https://tv.nrsr.sk/archiv/schodza/8/75?MeetingDate=08112022&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20221108_085500_190226.mp4/playlist.m3u8,slovakia_8_75_7_08112022,2025-03-26 15:44:51
https://tv.nrsr.sk/archiv/schodza/7/6?MeetingDate=22062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160622_085425_095454.mp4/playlist.m3u8,slovakia_7_6_6_22062016,2025-03-26 15:45:26
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=19062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130619_085534_121033.mp4/playlist.m3u8,slovakia_6_21_2_19062013,2025-03-26 15:45:34
https://tv.nrsr.sk/archiv/schodza/7/5?MeetingDate=07062016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160607_095448_130159.mp4/playlist.m3u8,slovakia_7_5_1_07062016,2025-03-26 15:46:30
https://tv.nrsr.sk/archiv/schodza/8/1?MeetingDate=20032020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200320_085312_183255.mp4/playlist.m3u8,slovakia_8_1_1_20032020,2025-03-26 15:46:34
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=27112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241127_085905_120413.mp4/playlist.m3u8,slovakia_9_23_3_27112024,2025-03-26 15:47:34
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=20062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130620_085539_120059.mp4/playlist.m3u8,slovakia_6_21_3_20062013,2025-03-26 15:48:07
https://tv.nrsr.sk/archiv/schodza/7/4?MeetingDate=17052016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160517_125458_190217.mp4/playlist.m3u8,slovakia_7_4_1_17052016,2025-03-26 15:49:13
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=21062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130621_085521_140226.mp4/playlist.m3u8,slovakia_6_21_4_21062013,2025-03-26 15:50:40
https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=28112024&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20241128_085908_124142.mp4/playlist.m3u8,slovakia_9_23_4_28112024,2025-03-26 15:54:07
https://tv.nrsr.sk/archiv/schodza/7/4?MeetingDate=18052016&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20160518_085501_120331.mp4/playlist.m3u8,slovakia_7_4_2_18052016,2025-03-26 15:54:24
https://tv.nrsr.sk/archiv/schodza/6/21?MeetingDate=25062013&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20130625_085512_120231.mp4/playlist.m3u8,slovakia_6_21_5_25062013,2025-03-26 15:54:41
https://tv.nrsr.sk/archiv/schodza/7/58?MeetingDate=18022020&DisplayChairman=true,https://tvw.nrsr.sk/store/mp4:20200218_125501_135114.mp4/playlist.m3u8,slovakia_7_58_1_18022020,2025-03-26 15:56:22
